"namaKerajaan,""ibuKota"",""agama"",""pendahulu"",""penerus"",""tahunMulai"",""wikidataID"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Sultanate of Brunei"",""Captaincy General of the Philippines1702"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"","""",""Dutch East Indies1878"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Lupah Sug"",""Dutch East Indies1878"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Precolonial barangay"",""Dutch East Indies1878"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Sultanate of Brunei"",""Dutch East Indies1878"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"","""",""Insular Government of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Lupah Sug"",""Insular Government of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Precolonial barangay"",""Insular Government of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Sultanate of Brunei"",""Insular Government of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"","""",""Insular Government of the Philippines1915"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Lupah Sug"",""Insular Government of the Philippines1915"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Precolonial barangay"",""Insular Government of the Philippines1915"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Sultanate of Brunei"",""Insular Government of the Philippines1915"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"","""",""North Borneo1881"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Lupah Sug"",""North Borneo1881"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Precolonial barangay"",""North Borneo1881"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Sultanate of Brunei"",""North Borneo1881"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"","""",""PalawanCalamianes"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Lupah Sug"",""PalawanCalamianes"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Precolonial barangay"",""PalawanCalamianes"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Maimbung"",""Sunni Islam"",""Sultanate of Brunei"",""PalawanCalamianes"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"","""",""Dutch East Indies"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Lupah Sug"",""Dutch East Indies"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Precolonial barangay"",""Dutch East Indies"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Sultanate of Brunei"",""Dutch East Indies"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"","""",""North Borneo"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Lupah Sug"",""North Borneo"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Precolonial barangay"",""North Borneo"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Sultanate of Brunei"",""North Borneo"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"","""",""Captaincy General of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Lupah Sug"",""Captaincy General of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Precolonial barangay"",""Captaincy General of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Sultanate of Brunei"",""Captaincy General of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"","""",""Captaincy General of the Philippines1702"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Lupah Sug"",""Captaincy General of the Philippines1702"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Precolonial barangay"",""Captaincy General of the Philippines1702"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Sultanate of Brunei"",""Captaincy General of the Philippines1702"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"","""",""Dutch East Indies1878"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Lupah Sug"",""Dutch East Indies1878"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Precolonial barangay"",""Dutch East Indies1878"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Sultanate of Brunei"",""Dutch East Indies1878"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"","""",""Insular Government of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Lupah Sug"",""Insular Government of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Precolonial barangay"",""Insular Government of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Sultanate of Brunei"",""Insular Government of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"","""",""Insular Government of the Philippines1915"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Lupah Sug"",""Insular Government of the Philippines1915"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Precolonial barangay"",""Insular Government of the Philippines1915"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Sultanate of Brunei"",""Insular Government of the Philippines1915"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"","""",""North Borneo1881"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Lupah Sug"",""North Borneo1881"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Precolonial barangay"",""North Borneo1881"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Sultanate of Brunei"",""North Borneo1881"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"","""",""PalawanCalamianes"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Lupah Sug"",""PalawanCalamianes"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Precolonial barangay"",""PalawanCalamianes"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Palawan"",""Sunni Islam"",""Sultanate of Brunei"",""PalawanCalamianes"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"","""",""Dutch East Indies"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Lupah Sug"",""Dutch East Indies"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Precolonial barangay"",""Dutch East Indies"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Sultanate of Brunei"",""Dutch East Indies"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"","""",""North Borneo"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Lupah Sug"",""North Borneo"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Precolonial barangay"",""North Borneo"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Sultanate of Brunei"",""North Borneo"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"","""",""Captaincy General of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Lupah Sug"",""Captaincy General of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Precolonial barangay"",""Captaincy General of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Sultanate of Brunei"",""Captaincy General of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"","""",""Captaincy General of the Philippines1702"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Lupah Sug"",""Captaincy General of the Philippines1702"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Precolonial barangay"",""Captaincy General of the Philippines1702"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Sultanate of Brunei"",""Captaincy General of the Philippines1702"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"","""",""Dutch East Indies1878"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Lupah Sug"",""Dutch East Indies1878"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Precolonial barangay"",""Dutch East Indies1878"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Sultanate of Brunei"",""Dutch East Indies1878"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"","""",""Insular Government of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Lupah Sug"",""Insular Government of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Precolonial barangay"",""Insular Government of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Sultanate of Brunei"",""Insular Government of the Philippines"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"","""",""Insular Government of the Philippines1915"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Lupah Sug"",""Insular Government of the Philippines1915"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Precolonial barangay"",""Insular Government of the Philippines1915"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Sultanate of Brunei"",""Insular Government of the Philippines1915"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"","""",""North Borneo1881"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Lupah Sug"",""North Borneo1881"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Precolonial barangay"",""North Borneo1881"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Sultanate of Brunei"",""North Borneo1881"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"","""",""PalawanCalamianes"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Lupah Sug"",""PalawanCalamianes"",,""http://www.wikidata.org/entity/Q422065"""
"Sultanate of Sulu,""Indanan"",""Sunni Islam"",""Precolonial barangay"",""PalawanCalamianes"",,""http://www.wikidata.org/entity/Q422065"""
