"kerajaanLabel,orangLabel,peranLabel,ayahLabel,ibuLabel,pasanganLabel,anakLabel"
"Kesultanan Banten,Maulana Muhammad,,Maulana Yusuf,,,Abu al-Mafakhir"
"Kesultanan Cirebon,Sunan Gunung Jati,,Syarif Abdullah Umdatuddin,,,Maulana Hasanuddin"
"Kesultanan Banten,Syifa Zainularifin,,Abu al-Mahasin,,,Arif Zainulasyiqin"
"Kesultanan Banten,Abu al-Ma'ali,,Abu al-Mafakhir,,,Tirtayasa dari Banten"
"Kesultanan Aceh,Sultan Ali Riayat Syah,,Sultan Alauddin Riayat Syah,,,"
"Kesultanan Aceh,Alauddin al-Qahhar dari Aceh,,Ali Mughayat Syah dari Aceh,,,Husain Ali Riayat Syah dari Aceh"
"Kesultanan Demak,Sunan Kudus,,Sunan Ngudung,,,"
"Kesultanan Aceh,Sultan Alauddin Johan Syah,,Sultan Alauddin Ahmad Syah,,,Sultan Alauddin Mahmud Syah I"
"Kesultanan Aceh,Alauddin al-Qahhar dari Aceh,,Ali Mughayat Syah dari Aceh,,,Sri Alam dari Aceh"
"Kerajaan Kubu,Elizabeth Carter,,,,,"
"Kesultanan Aceh,Sri Alam dari Aceh,,Alauddin al-Qahhar dari Aceh,,,"
"Kesultanan Aceh,Ali Mughayat Syah dari Aceh,,,,,Salahuddin dari Aceh"
"Kesultanan Aceh,Iskandar Muda dari Aceh,,,,,Safiatuddin dari Aceh"
"Kesultanan Banten,Abu al-Mahasin,,Abu an-Nasr,,,Syifa Zainularifin"
"Kesultanan Banten,Abu al-Mahasin,,Abu an-Nasr,,,Wasi Zainulalimin"
"Kesultanan Aceh,Ali Mughayat Syah dari Aceh,,,,,Alauddin al-Qahhar dari Aceh"
"Kesultanan Lingga,Sulaiman II Badrul Alam Syah,,Abdul Rahman Muazzam Syah dari Lingga,,,"
"Kesultanan Aceh,Sultan Alauddin Riayat Syah,,,,,Sultan Ali Riayat Syah"
"Kesultanan Aceh,Badrul Alam dari Aceh,,,,,Jamalul Alam dari Aceh"
"Kesultanan Aceh,Jamalul Alam dari Aceh,,Badrul Alam dari Aceh,,,"
"Kesultanan Aceh,Sultan Alauddin Ahmad Syah,,,,,Sultan Alauddin Johan Syah"
"Kesultanan Aceh,Sultan Alauddin Mahmud Syah I,,Sultan Alauddin Johan Syah,,,"
"Kesultanan Banten,Maulana Yusuf,,Maulana Hasanuddin,,,Maulana Muhammad"
"Kesultanan Tidore,Saifuddin of Tidore,,,,,"
"Kesultanan Tidore,Ngarolamo,,,,,"
"Kesultanan Banten,Abu an-Nasr,,Tirtayasa dari Banten,,,Abu al-Fadhl"
"Kesultanan Banten,Abu an-Nasr,,Tirtayasa dari Banten,,,Abu al-Mahasin"
"Kesultanan Banten,Tirtayasa dari Banten,,Abu al-Ma'ali,,,Abu an-Nasr"
"Kerajaan Klungkung,Dewa Agung Istri Kanya,,,,,"
"Kerajaan Klungkung,Gusti Ayu Karang,,,,,"
"Sriwijaya,Samaratungga,,,,,"
"Kadipaten Surabaya,Pangeran Pekik,,Jayalengkara,,,"
"Kesultanan Aceh,Muda dari Aceh,,Husain Ali Riayat Syah dari Aceh,,,"
"Majapahit,Sunan Bungkul,,,,,"
"Kesultanan Aceh,Naqiatuddin dari Aceh,,,,,Zaqiatuddin dari Aceh"
"Majapahit,Taming Sari,,,,,"
"Kesultanan Aceh,Zaqiatuddin dari Aceh,,,Naqiatuddin dari Aceh,,"
"Kesultanan Palembang,Syarif Ali bin Syekhabubakar,,,,,"
"Kesultanan Aceh,Salahuddin dari Aceh,,Ali Mughayat Syah dari Aceh,,,"
"Kesultanan Aceh,Zainal Abidin dari Aceh,,,,,"
"Kesultanan Aceh,Zainatuddin dari Aceh,,,,,"
"Majapahit,Wikramawardhana,,,Dyah Nertaja,Kusumawardhani,Kertawijaya"
"Kesultanan Banten,Maulana Hasanuddin,,Sunan Gunung Jati,,,Maulana Yusuf"
"Kesultanan Aceh,Alauddin bin Ahmad dari Perak,,,,,"
"Kesultanan Aceh,Sultan Mahmud Syah,,,,,"
"Kesultanan Aceh,Alauddin Muhammad Syah,,,,,"
"Kesultanan Aceh,Jauharul Alam dari Aceh,,,,,"
"Kesultanan Aceh,Sultan Alauddin Jauhar al-Alam,,,,,"
"Kesultanan Aceh,Sultan Badruddin Johan Syah,,,,,"
"Kesultanan Aceh,Sultan Sulaiman Ali Iskandar Syah,,,,,"
"Kesultanan Aceh,Ali Ri'ayat Syah II,,,,,"
"Kesultanan Aceh,Syamsul Alam dari Aceh,,,,,"
"Kesultanan Banjar,Demang Lehman,,,,,"
"Kesultanan Aceh,Iskandar Tsani dari Aceh,,Ahmad Shah II of Pahang,,Safiatuddin dari Aceh,"
"Kesultanan Banten,Abu al-Fadhl,,Abu an-Nasr,,,"
"Kesultanan Banten,Abu al-Mafakhir,,Maulana Muhammad,,,Abu al-Ma'ali"
"Majapahit,Wikramawardhana,,,Dyah Nertaja,Kusumawardhani,Suhita"
"Kesultanan Aceh,Syamsuddin As-Sumatrani,,,,,"
"Kerajaan Sunda,Sri Baduga Maharaja,,,,,Rara Santang"
"Majapahit,Bondan Kajawan,,Kertabhumi,,,Ki Getas Pendawa"
"Majapahit,Bondan Kajawan,,Kertabhumi,,,Nyai Ageng Ngerang"
"Kerajaan Mataram,Sri Isyana Tunggawijaya,,Mpu Sindok,,Lokapala,Makutawangsawardhana"
"Kesultanan Siak Sri Inderapura,Sayyid Ismail dari Siak,,,,,"
"Majapahit,Bondan Kajawan,,Kertabhumi,,,Ki Ageng Wanasaba"
"Kesultanan Aceh,Teuku Nanta Seutia,,Datuk Makhudum Sati,,,Teuku Rayut"
"Kesultanan Siak Sri Inderapura,Yahya dari Siak,,,,,"
"Kerajaan Bali,Mpu Kuturan,,,,,"
"Majapahit,Mpu Kuturan,,,,,"
"Kesultanan Aceh,Sultan Perkasa Alam Syarif Lamtui,,,,,Jamalul Alam dari Aceh"
"Majapahit,Patih Udara,,,,,"
"Kesultanan Aceh,Teuku Nanta Seutia,,Datuk Makhudum Sati,,,Cut Nyaâ€™ Dhien"
"Kesultanan Banten,Abul Nashar Muhammad Ishaq Zainulmutaqin,,,,,"
"Kesultanan Banten,Muhammad bin Muhammad Muhyiddin Zainussalihin,,,,,"
"Kesultanan Banten,Abul Mafakhir Muhammad Aliuddin,,,,,"
"Kerajaan Mataram,Makutawangsawardhana,,Sri Isyana Tunggawijaya,Sri Isyana Tunggawijaya,,"
"Kerajaan Sunda,Sri Baduga Maharaja,,,,,Pangeran Walangsungsang"
"Kerajaan Mataram,Lokapala,,,,Sri Isyana Tunggawijaya,"
"Kesultanan Aceh,Pocut Baren,,,,,"
"Kesultanan Aceh,Syarif Saif al-Alam,,,,,"
"Kesultanan Aceh,Sultan Muhammad Syah,,,,,"
"Kesultanan Aceh,Sultan Mansur Syah,,,,,"
"Kesultanan Aceh,Sultan Sulaiman Syah,,,,,"
"Kesultanan Banjar,Khatib Dayan,,,,,"
"Kesultanan Banten,Wasi Zainulalimin,,Abu al-Mahasin,,,"
"Kesultanan Banjar,Patih Masih,,,,,"
"kerajaanLabel,orangLabel,ayahLabel,ibuLabel,pasanganLabel"
